LF	11010000
 	111
!	0101101000
'	10001100
,	010111
-	01011000
.	1101001
:	010110101
;	0101101001
?	010101010
A	01011001
B	0101101110
C	10001101
D	0101101111
H	010101011
I	10000110
L	0101101100
M	10000111
O	100011110
R	010101000
S	0101011
T	100011111
Y	0101101101
a	1011
b	010100
c	101011
d	11011
e	001
f	100000
g	101010
h	11001
i	0000
k	11010001
l	10100
m	100010
n	0110
o	1001
p	1000010
r	0001
s	0100
t	0111
u	110101
v	10001110
w	110001
x	010101001
y	110000
